Fri Aug 11 21:10:55 2023    ies_detector_profile.stats

         1961858 function calls (1936817 primitive calls) in 7.099 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1022    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      760    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:112(_makearray)
      380    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_filter_design.py:2495(<listcomp>)
     1140    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
     6115    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/shape_base.py:19(_atleast_1d_dispatcher)
     4714    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3241(_around_dispatcher)
     1520    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/type_check.py:70(<genexpr>)
       56    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(unique)
      760    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_filter_design.py:2601(_relative_degree)
     3824    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3340(_mean_dispatcher)
      380    0.001    0.000    0.001    0.000 {method 'conjugate' of 'numpy.ndarray' objects}
     4560    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numeric.py:751(_convolve_dispatcher)
      950    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
      760    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     3634    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/function_base.py:3769(_median_dispatcher)
       56    0.000    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/arraysetops.py:138(unique)
      380    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(result_type)
     3634    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numeric.py:428(_count_nonzero_dispatcher)
     3634    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:671(_partition_dispatcher)
     1609    0.001    0.000    0.001    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
       56    0.000    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
     1140    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:117(isComplexType)
      228    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/shape_base.py:218(_vhstack_dispatcher)
      760    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:130(_realType)
       35    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(hstack)
     2660    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1521    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3152(ndim)
      570    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/type_check.py:121(real)
       35    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/shape_base.py:299(hstack)
      570    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      228    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
     2280    0.000    0.000    0.000    0.000 {built-in method _operator.index}
     1521    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numeric.py:574(_argwhere_dispatcher)
      380    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:186(_assert_stacked_square)
      760    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.ndarray' objects}
     1141    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/function_base.py:1316(_diff_dispatcher)
     1140    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      760    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      760    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numeric.py:1473(<listcomp>)
     1176    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/multiarray.py:1079(copyto)
     1521    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3148(_ndim_dispatcher)
      380    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:107(get_linalg_error_extobj)
     1521    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:597(_transpose_dispatcher)
     1140    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2328(_any_dispatcher)
     1521    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1888(_nonzero_dispatcher)
     1178    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/multiarray.py:152(concatenate)
     1087    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1149(_argmax_dispatcher)
     1140    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2950(_prod_dispatcher)
      380    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:180(_assert_stacked_2d)
      760    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/function_base.py:5246(_insert_dispatcher)
      760    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numeric.py:1407(_moveaxis_dispatcher)
       86    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
      760    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:874(_sort_dispatcher)
       88    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/shape_base.py:600(<listcomp>)
      760    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/polynomial.py:40(_poly_dispatcher)
      380    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3194(size)
      570    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/function_base.py:5440(_append_dispatcher)
      570    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/type_check.py:117(_real_dispatcher)
      264    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/shape_base.py:1273(<genexpr>)
      380    0.000    0.000    0.000    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
      570    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1777(_ravel_dispatcher)
      380    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:302(_solve_dispatcher)
       88    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      380    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2427(_all_dispatcher)
      380    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:193(_reshape_dispatcher)
      380    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3190(_size_dispatcher)
      178    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/shape_base.py:1263(<genexpr>)
        2    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/codeop.py:117(__call__)
        1    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/pandas/core/frame.py:1780(to_numpy)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      380    0.000    0.000    0.000    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/multiarray.py:668(result_type)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(argsort)
